texto,sentimento
recebi bem antes do prazo estipulado,positivo
parabéns lojas lannister adorei comprar pela internet seguro e prático parabéns a todos feliz páscoa,positivo
aparelho eficiente no site a marca do aparelho esta impresso como desinfector e ao chegar esta com outro nome atualizar com a marca correta uma vez que é o mesmo aparelho,positivo
mas um pouco travando pelo valor ta boa,positivo
vendedor confiável produto ok e entrega antes do prazo,positivo
gostaria de saber o que houve sempre recebi e essa compra agora me decpcionou,negativo
obrigado pela atençao amim dispensada,positivo
a compra foi realizada facilmente a entrega foi efetuada muito antes do prazo dado o produto já começou a ser usado e até o presente sem problemas,positivo
relógio muito bonito e barato,positivo
não gostei comprei gato por lebre,negativo
sempre compro pela internet e a entrega ocorre antes do prazo combinado que acredito ser o prazo máximo no stark o prazo máximo já se esgotou e ainda não recebi o produto,negativo
recebi exatamente o que esperava as demais encomendas de outros vendedores atrasaram mas esta chegou no prazo,positivo
tô completamente apaixonada loja super responsável e confiável,positivo
nada de chegar o meu pedido,negativo
muito bom muito cheiroso,positivo
otimo vendedor chegou ate antes do prazo adorei o produto,positivo
processo de compra tranquilo e eficiente,positivo
tomara q dure pois é de pelinho,positivo
recebi somente controle midea split estilo faltou controle remoto para ar condicionado consul,negativo
ocorreu tudo como contratado sendo a entrega realizada antes do prazo estou satisfeita,positivo
amei achei lindo muito delicado adorei,positivo
ótima loja para parceria rápidíssima produtos bem embalados e de qualidade só o custo do frete que foi meio azedo,positivo
recomendo o vendedor,positivo
o produto não chegou no prazo estipulado e causou transtorno pq programei a viagem de férias do meu filho baseado no prazo moro na bahia e ele em cuiabá sozinho agora a casa está vazia,negativo
produto entregue como solicitado e com muita brevidade parabéns,positivo
eu comprei duas unidades e só recebi uma e agora o que faço,neutro
produto bom porém o que veio para mim não condiz com a foto do anúncio,neutro
produto muito inferior mal acabado,negativo
o kit mochila patrulha canina é lindo meu netinho vai amar obrigada,positivo
entrega no prazo,neutro
cumpriu o prometido na compra e com o uma entrega em tempo satisfatório,positivo
pedi reembolso e sem resposta até momento,negativo
estao de parabens sempre chega com muiiita antecedencia muito obrigada,positivo
produto chegou mas meu pc não conseguiu reconhecer as portas usb,neutro
produto de muito boa qualidade chegou antes do prazo prometido,positivo
este foi o pedido balde com peças blocos de montar un r cada não foi entregue vendido e entregue targaryen tapete de eva nº letras peças crianças un r este foi entreg,negativo
entrega muito rápida parabéns,positivo
comprei tres pacotes de cinco folhas cada de papel transfer para tecido escuro e so recebi dois,negativo
estava faltando apenas um produto eu recebi hoje muito obrigada tudo certo att elenice,positivo
a bolsa térmica além de linda é super espaçosa produto de acordo com o anunciado e a entrega super rápida entregou bem antes do prazo,positivo
demorou de mais pra entrega,negativo
super rapido a entrega chegou antes da data,positivo
a entrega foi dividida em duas não houve comunicado do loja cheguei a pensar que só haviam enviado parte do produto,neutro
não funciona não faz sincronismo,negativo
recomendo a todos os clientes,positivo
gostei muito do jogo de banho a estampa florida o bordado tudo muito bonito ótimo produto,positivo
chegou apenas uma peça mas na nota e na garantia constam as duas joias,negativo
eu não recebi o produto e consta no sistema que eu recebi além de pagar caro do frete,negativo
comprei o relógio unissex e enviaram um relógio feminino bem menor que as especificações do anúncio,negativo
sempre compro na lannister pra mim é a melhor loja on line,positivo
produto de qualidade excelente,positivo
ótimo custo benefício,positivo
gostei da atenção com a entrega,positivo
se fosse vidro tinha quebrado veio na caixa sem nenhuma proteção por dentro a caixa estava muito amassada desculpe mas gosto de comprar de vcs,positivo
a peça não serviu,negativo
comprei o produto dia de fevereiro e hoje dia de marco não fora entregue na minha residência não sei se os correios desse brasil e péssimo ou foi a própria loja que demorou postar,negativo
fiz minha compra faz dias e não recebi ainda meu produto precisa melhorar nas entregas,negativo
espero receber esta semana o que não seria tão extravagante porém mais atrazo do que isso me faria desistir do baratheon,positivo
entregou no prazo certo fiquei feliz com a compra que fiz,positivo
lindo relógio adorei,positivo
comprei dois lustres pendentes com a parceira targaryen e só me enviaram um lustre abri reclamação mas ainda não recebi resposta aguardo solução por parte de lojas lannister,neutro
muito bom alta qualidade,positivo
produto bonito entregue bem valado e dentro do prazo recomendo,positivo
faltou produto e os que recebi veio quebrado,negativo
chegou dentro do prazo e o produto é de excelente qualidade acabou as dores nas costas estou dormindo muito bem,positivo
aqui está descrevendo como entregue só que ate agora não recebi,negativo
acho que rastreando o produto devia ser melhor e mais preciso mas no geral foi uma ótima experiência,positivo
ainda não tive a oportunidade de testar,positivo
comecei a usar agora,neutro
nada a declarar,positivo
comprar um produto correto na capa mas interno ser outro,neutro
entrega super rapida,neutro
fiz um pedido de garrafas de azeite chegaram num dia e as outras quase horas depois contato com a loja muito dificil tanto via e mail qto por telef o suspense terminou mas lá não compro mais,neutro
o produto chegou muito rapido e de boa qualidade recomendo o produto,positivo
não posso estou aguardando a chegada do produto que comprei logo que isso aconteça terei minha opinião formada,negativo
comprei dois produtos e recebi somente um mandei dois emails para a loja e não tive nenhum retorno estou insatisfeita,negativo
não recomendaria esta loja nem pretendo voltar a comprar nela a mercadoria foi entregue após o prazo e quase mês após a compra no site das lannister costumam chegar antes do prazo estranhei muito,neutro
atendeu minha expectativa,positivo
entrega antes do prazo produto muito prático e de fácil manuseio,positivo
otimo produto só nao veio manual mas sem problemas,positivo
uma das peças não encaixava estava de diâmetro diferente eu tive que serrar e martelar para poder caber e encaixar de resto tudo ok,positivo
demora na entrega detestei o atendimento e nunca mais compro baratheon quando vendia por eles mesmos era bem melhor,negativo
produto muito bom,positivo
o meu produto não chegou segundo o rastreio está parado em ribeirão preto sp,negativo
produto deu defeito na vez de uso,negativo
super recomendo produto profissional de qualidade,positivo
até agora não recebi o produto,negativo
a loja anuncia um produto e entrega outro,negativo
muito bom e rapido quando vi ja tinha chegado,positivo
o produto chegou muito bem,positivo
apesar de ter sido entregue rapidamente substituíram a caixa meteoro pela caixa borne quando tentei reclamar nas lannister o sistema estaav fora do ar a guitarra e acessórios estavam corretos,neutro
parabéns para loja e revendedor apesar de ter demorado um pouco,positivo
entregue dentro do prazo e com bom período de validade,positivo
o jogo de toalhas é lindo mais bonito do que na foto amei,positivo
produto foi entregue com umas das alças com problemas está faltando pino de fixação,negativo
foi marcado o dia para entrega do pedido e no rastreamento marcava que o produto já havia sido entregue na data mas na realidade não foi entregue o produto só foi entregue no dia,negativo
loja além do frete ser muito caro o produto leva quase dias úteis para chegar na sua casa,negativo
recebi bem rápido porém veio outro produto e não o que eu pedi o modelo veio diferente a cor veio uma capinha que não tem zíper enfim não recomendo,negativo
sempre comprei no stark e estou satisfeito,positivo
fiz a compra por tabela e graças a deus deu tudo certo fico muito grato pode confiar,positivo
cancelaram a minha compra um dia antes da entrega liguei para a lannister e os atendentes não sabiam o que estava acontecendo uma bagunça agora estou esperando para ver se vai ser cobrado,negativo
produto de qualidade e eficiência na entrega recebi muito antes do combinado recomendo,positivo
produto bom veio no dentro do prazo chegou em dias estão de parabéns,positivo
tudo ok o baratheon sempre responsável com a suas entregas,positivo
o acabento que estava na foto era bonito a que chegou foi de um sintetico feio com um acabento todo borrado orrivel nao gostei,negativo
e muito desordenado comprei três produtos mais não veio no dia sertões veio separado e em data separada,negativo
mercadoria certa entregue no prazo combinado grata,positivo
passou dos dias previstos,negativo
ao fazer a compra do kit entendi que receberia frascos de cápsulas cada e não frascos com cápsulas no total só não vou devolver porque estou precisando do produto,neutro
entrega bem antes do prazo perfeito,positivo
cada vez que compro mais fico satisfeita parabéns pela honestidade com seus clientes,positivo
bem rapido a entrega e bom comprar com vcs,positivo
produto não recomendo não ler em nenhum dispositivo,negativo
entrega super rápida parabéns,positivo
tudo rápido e eficiente,positivo
creme maravilhoso e entrega super rápida,positivo
tentando cancelar o produto desde antes da emissão da nota fiscal não fui avisada que estava no correio não tive nenhuma resposta do cancelamento e nao consigo devolver,negativo
chegou hoje sem comentários,positivo
boa noite é lamentável esta loja que tantas compras eu ja fiz e hoje não me da satisfação sequer de um relógio na importância de reais um produto com defeito e até agora não me deu retor,negativo
muito bom aquilo que esperava,positivo
a capa protetora não é exatamente o que eu esperava deixa a desejar no tipo material e na qualidade,negativo
no site o produto parece ter melhor qualidade de material e acabamento,neutro
recebi meu produto corretamente e dentro do prazo verificando na caixa esta tudo correto mas ainda não montei produto lindo cor perfeita amamos super recomendo,positivo
a embalagem deixou a desejar por pouco o produto não foi danificado a caixa estava toda amassada,neutro
parabéns produto entregue bem antes do prazo atendeu às minhas necessidades,positivo
faltaram os cabos e o manual,neutro
ótimo chegou bem antes do prazo,positivo
entregue no prazo produto muito bom,positivo
o produto foi embalado apenas com papel pardo sobre a embalagem e enviado pelos correios lógico a embalagem chegou amassada e só deus sabe se o produto está funcionando ou não ainda não testei,negativo
acho q deveriam mandar por sedex ao invés de pac,positivo
última vez que compro pois hoje vai fazer mês que fiz a comprar e nada e se demorar mas tempo de entregar estarei procurando meus direitos contra as lojas lannister e a targaryen,negativo
lindo só faltou instruções da troca de pulseiras,positivo
produto exatamente conforme descrito chegou bem antes do prazo,positivo
o produto chegou bem antes do prazo estipulado amei o atendimento super recomendo,positivo
não gostei do produto material de péssima qualidade,negativo
dos dois produtos comprados foi entregue apenas um,negativo
nao compro mais na lannister se é parceiro da lannister ou não essa targaryen jamais uso novamente quando eu ler que é dessa empresa saio correndo um absurdo quase um mês para entregar extra com ok,negativo
